,content,Sentiment
106,gyrowavegentm peta tesla very dangerous way of living,Neutral
107,realendlssplaid tucks101 spacetaz toyota gm ford stellantis honda tesla elonmusk tesla us estimate yoy for q1 is 57 growth,Neutral
108,tesla elonmusk impressive video flight elon ,Neutral
109,tsla production is up 68 year over year and bears are talking about they only delivered 310k vehicles lmaooooooooooooooo you shorts are outta your bird ,Positive
110,friday closing bell saw tsla spy qqq rebounded at the last few mins coupled with a tsla stock spilt support at 1065 and positive q1 deliveries results expect tsla to bull run to cyber rodeo giga texas opening till q1 earnings call have you bought your calls,Positive
111,sudz3 maniamarkets passthebeano elonmusk driveteslaca tesla cbctoronto good god man why do you put up with this crap,Positive
112,iammarkmonroe tesla elonmusk seems like analyst always put big expectations out there for tesla im reading mixed news on if they beat expectations or missed either way awesome numbers,Positive
113,"r35ch tesla teslaadri raffaeru teslamaniacs captainvoni cymbade mrkspflr interesting
forgot to check on friday when i drove in snow
the legacy s always had an rwd bias at lower speeds
range mode just lowers the speed at which it shifts from pure rwd to pure fwd
hard acceleration always makes it 5050 again roughly above 40 kmh",Positive
114,ezebroni tesla elonmusk probably didnt want fisker to get all butthurt that the option might be possible in a car already in production,Positive
115,teslaownerssv elonmusk tesla congratulations its an awesome looking ride and since elon musk put his name on it yep its the best,Negative
116,saxenapuru simple  when you own the supply chain are vertically integrated and substitute plastic and metal components for software for all driving functions your gm goes from 18 traditional auto to 30 tsla look at teslas growth rate  free cash flow  eps growth,Neutral
117,carmenc10242109 tesla tire caught on fire what was on the roads,Neutral
118,"tesla guides at 50 annual growth but after one quarter is already at 67 growth yoy 

 with two newly openedabouttoopen factories this is crazy bullish

 no other trillion company gets anywhere near this tesla is still the most undervalued public company

tsla httpstcozctep6wsev",Negative
119,ghostwaterdive azukiofficial tesla the plaid my brother  then pray to god azuki drops in price in the future to buy in low ,Positive
120,driveteslaca tesla elonmusk teslaownerssv wholemarsblog blkmdl3 arctechinc teslachillmode klwtts teslaraj joetegtmeyer congrats,Neutral
121,tsla how bad will this crash on monday ,Neutral
122,"nhatami tsla is way over valued
nio is way under valued
which one you buying",Positive
123,tesla great job,Neutral
124,"drericding tesla factories like teslas alongside automated container ports like shanghai  are going to rewrite a lot of the economics of world trade
httpstcoj1d0e455vp",Negative
125,tsla its probably just going to go the way of the market monday ,Negative
126,tesla elonmusk hello sir  is the construction of tesla factory in iran real   if so it is an honor ,Negative
127,tsla next week  httpstcomvuoyzxpuc,Neutral
128,ghostwaterdive azukiofficial tesla based on utility,Neutral
129,shelbychurch tesla hug him,Positive
130,wow great job team tesla httpstcohri4mhoir2,Neutral
131,driveteslaca tesla elonmusk teslaownerssv wholemarsblog blkmdl3 arctechinc teslachillmode klwtts teslaraj joetegtmeyer jealous,Neutral
132,blueskykites elonmusk tesla wholemarsblog kristennetten 28delayslater kiwiev daelmor evafoxu renatakonkoly adamhoov rationaletienne teslahype milmilebattery bevedoni i love those hats when i was at uni i use to work festivals in childrens area and wore one was know as cowboygirl loved it,Positive
133,"video weekly outlook vix complacent gold ready to move amp crude dips to try amp buy

30 min to help you prepare for your trading week httpstcotglz3oqjes

outlook  vix spx ndx tsla rut zbf zsf zwf gcf clf btc esf nqf se avgo pypl",Neutral
134,ezebroni tesla elonmusk gotta love autocorrect,Neutral
135,samsonusmc milmilebattery toyota gm ford stellantis honda tesla elonmusk milmilebattery why wouldnt you post tesla us sales numbers only,Neutral
136,teslaownerssv elonmusk tesla whaaaat,Neutral
137,tsla soundz like they missed analysts forecasts and this pigz priced 4 purfection not sure how much algoz will care about record production headline shud b interesting premarket spy qqq ndx will follow,Neutral
138,sweetgirlju hippyresident alan83bull savageheart3d alan83bullb amarispixie mfknomar beekay taternutss ianbauer3 mar1e81 petriot15 stroutmotivateu cryptogauntlet peoplebereal royalfamily kissmycarol imurb00gieman tindellwilliam dreadpirate67 lauria1960 nola1107 tedcruz tedtalks michaelrulli katstillhere imdee45 thedoors liltunechi eminem kimsag87 briansa13423963 drmartin111 trikitranr20 brendafurqueron blueivyprod alienelonn cnbc tesla disneyplus meta joeysquares joebiden metawomennft2 47angb giants she can help you with happy ending maybe,Neutral
139,teslas sales jumped in the first quarter bucking industry trend again tsla spy  httpstcohps6rajkt9,Positive
140,scottbrandonr whambaamyt tesla the shield is made of kevlar which is fabric,Neutral
